Place,County,Population,Density,PerCapitaIncome,MedianIncome1,MedianIncome2
FETTERS HOT SPRINGS-AGUA CALIENTE,Sonoma,4866,3330.6,28459,58232,60761
FIDDLETOWN,Amador,86,18.6,23801,42500,NA
FIELDBROOK,Humboldt,812,77.6,30480,62750,82292
FIELDS LANDING,Humboldt,130,469.3,25299,16537,NA
FILLMORE,Ventura,15203,4519.3,19205,54519,60142
FIREBAUGH,Fresno,7935,2257.5,12436,31312,33518
FISH CAMP,Mariposa,44,48.7,15666,NA,NA
FLORENCE-GRAHAM,Los Angeles,62815,17546.1,10957,33992,33360
FLORIN,Sacramento,50791,5834.7,16358,40183,44694
FLORISTON,Nevada,58,61.1,36800,56607,59375
FLOURNOY,Tehama,143,24.7,18901,58500,59250
FOLSOM,Sacramento,73334,3341.4,38472,100163,116527
FONTANA,San Bernardino,201355,4745.6,19685,64995,66795
FOOTHILL FARMS,Sacramento,33024,7862.9,19658,44590,45764
FORBESTOWN,Butte,450,71.7,20552,63676,64853
FORD CITY,Kern,4154,2706.2,14873,32134,38448
FORESTHILL,Placer,1345,120.2,26123,34821,75820
FOREST MEADOWS,Calaveras,1674,296,40314,70484,85114
FOREST RANCH,Butte,1064,76.4,30503,41649,48313
FORESTVILLE,Sonoma,3461,658.4,28818,55740,66136
FORT BIDWELL,Modoc,161,50.3,16952,23333,29167
FORT BRAGG,Mendocino,7274,2646.1,20585,34057,54615
FORT IRWIN,San Bernardino,9191,1319.6,19077,49928,51134
FORT JONES,Siskiyou,848,1408.6,16945,39500,51250
FORTUNA,Humboldt,11863,2448.5,21626,42450,51213
FORT WASHINGTON,Fresno,430,3467.7,64517,92566,92566
FOSTER CITY,San Mateo,31809,8379.6,55318,114651,130566
FOUNTAIN VALLEY,Orange,56440,6221.3,34382,82532,93322
FOWLER,Fresno,5908,2324.2,19298,47731,62070
FRANKLIN,Merced,6840,3403,15950,34671,41273
FRANKLIN,Sacramento,33,15.7,23882,24531,NA
FRAZIER PARK,Kern,2730,539.1,20707,43077,56336
FREEDOM,Santa Cruz,3205,2903.1,18078,51492,52885
FREEPORT,Sacramento,68,1545.5,25197,46250,NA
FREMONT,Alameda,221654,2861.3,40815,103591,112347
FRENCH CAMP,San Joaquin,4155,1322.4,10460,35833,46350
FRENCH GULCH,Shasta,441,35.8,14994,28750,27833
FRENCH VALLEY,Riverside,26753,2456.4,26621,88699,88614
FRESNO,Fresno,506132,4470.2,19226,41455,45554
FRIANT,Fresno,263,210.2,20332,18884,17000
FRUITDALE,Santa Clara,1089,4078.7,43850,73250,103333
FRUITRIDGE POCKET,Sacramento,5802,9542.8,10884,32853,34948
FULLER ACRES,Kern,924,1225.5,10343,33750,28472
FULLERTON,Orange,137945,6149.2,29733,65909,76187
FULTON,Sonoma,441,226.3,34310,65750,116146
FURNACE CREEK,Inyo,187,6,29232,33000,53359
GALT,Sacramento,24280,4050,22609,59375,62452
GARBERVILLE,Humboldt,1061,395.9,18239,29694,37127
GARDENA,Los Angeles,59682,10238.8,23230,47856,54331
GARDEN ACRES,San Joaquin,11172,4315.2,13032,38940,39460
GARDEN FARMS,San Luis Obispo,341,312,53338,102344,100156
GARDEN GROVE,Orange,173853,9681.6,21241,59360,62562
GAREY,Santa Barbara,74,58.5,17823,62500,46667
GARNET,Riverside,6380,809.2,13804,37910,39785
GASQUET,Del Norte,500,105.1,22000,35547,38750
GAZELLE,Siskiyou,76,131,12700,21071,30833
GEORGETOWN,El Dorado,2458,162.5,23926,46136,78487
GERBER,Tehama,1201,1301.2,14062,31781,32232
GEYSERVILLE,Sonoma,879,194.7,22451,49271,49931
GILROY,Santa Clara,50776,3145.6,29559,81056,86098
GLENDALE,Los Angeles,195380,6417.7,29264,52451,61806
GLENDORA,Los Angeles,50855,2621.5,32090,74169,82961
GLEN ELLEN,Sonoma,614,292.1,43374,48750,49167
GOLDEN HILLS,Kern,8398,685.6,26782,64425,68682
GOLD MOUNTAIN,Plumas,22,3.6,NA,NA,NA
GOLD RIVER,Sacramento,7658,2904.1,57795,102500,115926
GOLETA,Santa Barbara,30333,3863.6,33469,75766,92391
GONZALES,Monterey,8336,4348.5,19466,51178,43370
GOOD HOPE,Riverside,8911,793.3,11960,34801,39135
GOODYEARS BAR,Sierra,23,11.2,NA,NA,NA
GOSHEN,Tulare,3832,2155.2,10421,38162,34211
GRAEAGLE,Plumas,546,49.3,36458,54688,68625
GRAND TERRACE,San Bernardino,12252,3498.6,29572,64140,78763
GRANGEVILLE,Kings,607,948.4,30119,50450,67125
GRANITE BAY,Placer,22646,1051.9,55636,118063,135583
GRANITE HILLS,San Diego,3438,1230.9,48827,111684,126618
GRANITEVILLE,Nevada,0,0,NA,NA,NA
GRASS VALLEY,Nevada,12861,2711.6,23005,33325,40591
GRATON,Sonoma,1626,1029.8,26548,37927,56250
GRAYSON,Stanislaus,888,348.4,14153,28068,35096
GREELEY HILL,Mariposa,566,26.9,21738,30766,58646
GREENACRES,Kern,4949,2587,30071,64052,69561
GREEN ACRES,Riverside,2330,1664.3,14428,55417,55444
GREENFIELD,Kern,3974,2746.4,21522,51410,50625
GREENFIELD,Monterey,16715,7829,13567,52374,49544
GREENHORN,Plumas,182,27.1,52332,58023,48875
GREEN VALLEY,Los Angeles,1022,79.8,46357,93313,129531
GREEN VALLEY,Solano,1217,146.5,72511,77946,134766
GREENVIEW,Siskiyou,183,141.3,8551,14193,14193
GREENVILLE,Plumas,950,118.9,24222,30766,31944
GRENADA,Siskiyou,421,815.9,19725,30750,36250
GRIDLEY,Butte,6566,3172,16870,42542,47438
GRIMES,Colusa,419,185.3,14078,40947,29750
GRIZZLY FLATS,El Dorado,771,116.3,20361,56250,67981
GROVELAND,Tuolumne,725,75.8,16038,31932,33735
GROVER BEACH,San Luis Obispo,13337,5773.6,26781,49418,54955
GUADALUPE,Santa Barbara,7160,5469.8,14903,45456,46420
GUERNEVILLE,Sonoma,3775,388.8,34303,42712,58269
GUINDA,Yolo,599,206.1,13122,77596,78317
GUSTINE,Merced,5610,3617,20620,38173,47646
HACIENDA HEIGHTS,Los Angeles,55179,4937.7,28614,76435,81135
HALF MOON BAY,San Mateo,11803,1837.6,54270,103239,108700
HAMILTON BRANCH,Plumas,634,584.3,29462,60268,63750
HAMILTON CITY,Glenn,1718,5506.4,13338,32774,33547
HANFORD,Kings,54523,3244.6,22307,53543,59543
HAPPY CAMP,Siskiyou,1153,95.2,15357,25625,31458
HARBISON CANYON,San Diego,4577,454.6,29795,81913,83098
HARDWICK,Kings,184,1323.7,12236,18250,19000
HARTLAND,Tulare,0,0,NA,NA,NA
HARTLEY,Solano,2458,379.6,42008,97100,103060
HASLEY CANYON,Los Angeles,1296,225.8,41556,100972,96417
HAT CREEK,Shasta,215,4.3,22517,36027,48558
HAWAIIAN GARDENS,Los Angeles,14432,15223.6,13557,39073,38246
HAWTHORNE,Los Angeles,85889,14124.2,20445,44384,47091
HAYFORK,Trinity,2372,32.9,18810,28287,46108
HAYWARD,Alameda,149596,3293.6,25770,62691,69415
HEALDSBURG,Sonoma,11466,2572.6,32461,58176,65375
HEBER,Imperial,4256,2869.9,11565,35153,36097
HEMET,Riverside,81203,2916,18284,33932,41824
HERALD,Sacramento,1221,155,36154,92045,92159
HERCULES,Contra Costa,24596,3835.9,37978,100267,113447
HERLONG,Lassen,1702,1045.5,6846,50781,44167
HERMOSA BEACH,Los Angeles,19725,13822.7,74730,105029,167750
HESPERIA,San Bernardino,91757,1255.3,16584,44472,50027
HICKMAN,Stanislaus,479,445.2,20190,48000,57500
HIDDEN HILLS,Los Angeles,1749,1035.5,126620,245694,NA
HIDDEN MEADOWS,San Diego,3283,498.7,38942,61234,81875
HIDDEN VALLEY LAKE,Lake,6168,633.7,24252,65706,67382
HIGHGROVE,Riverside,4067,1263.4,16332,41087,46071
HIGHLAND,San Bernardino,54032,2880.9,21578,53385,57517
HIGHLANDS-BAYWOOD PARK,San Mateo,4298,2373.3,59656,135345,162235
HILLSBOROUGH,San Mateo,11148,1801,127868,NA,NA
HILMAR-IRWIN,Merced,5266,1340.6,27961,52775,55500
HIOUCHI,Del Norte,413,712.1,26170,46083,71406
HOLLISTER,San Benito,36067,4924.5,22516,66045,66363
HOLTVILLE,Imperial,6067,5284.8,14247,29628,32240
HOME GARDEN,Kings,1787,4024.8,11708,32976,33631
HOME GARDENS,Riverside,11701,7519.9,15198,52704,51076
HOMELAND,Riverside,5921,1386.7,16804,36516,44667
HOMESTEAD VALLEY,San Bernardino,3366,99.3,15712,30527,31844
HOMEWOOD CANYON,Inyo,20,2,NA,NA,NA
HONCUT,Butte,145,34.2,24944,70064,NA
HOOD,Sacramento,311,987.3,20970,75556,78385
HOPLAND,Mendocino,587,166.5,21892,38750,67917
HORNBROOK,Siskiyou,275,236.1,14389,27083,36406
HORNITOS,Mariposa,56,48,NA,NA,NA
HUGHSON,Stanislaus,6895,3489.4,21964,50109,57042
HUMBOLDT HILL,Humboldt,3704,891.9,23598,48134,54657
HUNTINGTON BEACH,Orange,195686,7265.4,42680,82554,97638
HUNTINGTON PARK,Los Angeles,58787,19511.1,12088,34777,35367
HURON,Fresno,6777,4259.6,9968,28896,25859
HYAMPOM,Trinity,255,12.6,20368,29952,33672
HYDESVILLE,Humboldt,1354,180.5,26257,56216,65875
IDLEWILD,Tulare,32,69.7,32731,NA,NA
IDYLLWILD-PINE COVE,Riverside,2562,186.7,33070,60500,67056
IMPERIAL,Imperial,15782,2695,24109,73683,74683
IMPERIAL BEACH,San Diego,26857,6454.5,19896,48117,54639
INDEPENDENCE,Inyo,681,139.9,26470,50625,71071
INDIAN FALLS,Plumas,23,12.5,6722,NA,NA
INDIANOLA,Humboldt,889,629.6,25538,40769,50208
INDIAN WELLS,Riverside,5089,355.3,81359,85000,108000
INDIO,Riverside,82539,2692.3,20674,47922,54656
INDIO HILLS,Riverside,910,42.3,18471,37386,36705
INDUSTRY,Los Angeles,384,32.6,19617,51951,51890
INGLEWOOD,Los Angeles,111133,12255.5,19837,42249,46449
INTERLAKEN,Santa Cruz,6954,709.2,22324,70541,72222
INVERNESS,Marin,1368,213.8,52826,51850,91458
INYOKERN,Kern,665,60.9,35933,51172,107411
IONE,Amador,7318,1592.6,13793,50617,77361
IRON HORSE,Plumas,343,44.3,27161,97829,97829
IRVINE,Orange,229850,3505.4,43456,91999,109956
IRWINDALE,Los Angeles,1530,173.4,18122,56625,60750
ISLA VISTA,Santa Barbara,24792,13401.1,8904,19237,38810
ISLETON,Sacramento,792,1800,17200,30900,32273
IVANHOE,Tulare,4044,2007.9,9915,32783,33656
JACKSON,Amador,4616,1237.5,24618,41745,50150
JACUMBA,San Diego,77,12.6,99860,NA,NA
JAMESTOWN,Tuolumne,3394,1133.6,22768,38488,29362
JAMUL,San Diego,5445,328.3,39791,109492,113799
JANESVILLE,Lassen,1474,111.8,30675,73617,73165
JENNER,Sonoma,109,51.7,45506,83750,80250
JOHANNESBURG,Kern,79,32.7,14733,13906,NA
JOHNSTONVILLE,Lassen,1072,128.3,27946,67708,73654
JOHNSVILLE,Plumas,35,2.5,NA,NA,NA
JOSHUA TREE,San Bernardino,7564,204.2,22792,38297,47226
JULIAN,San Diego,1345,171.6,31063,77050,75500
JUNCTION CITY,Trinity,920,33,21224,37917,55625
JUNE LAKE,Mono,589,73.7,20604,50595,51518
JURUPA VALLEY,Riverside,97247,2265.2,18579,55898,59710
KEDDIE,Plumas,89,138,42799,83594,84010
KEELER,Inyo,80,61.4,10664,13824,14632
KEENE,Kern,325,33.6,29119,65474,66379
KELLY RIDGE,Butte,2594,1329.6,25509,38645,46338
KELSEYVILLE,Lake,3516,1218.7,17378,37606,46000
KENNEDY,San Joaquin,3487,2879.4,10334,37675,39550
KENNEDY MEADOWS,Tulare,37,6.4,22359,14408,NA
KENSINGTON,Contra Costa,5351,5650.5,67369,136625,156179
KENTFIELD,Marin,6667,2204,109976,175573,246771
KENWOOD,Sonoma,1075,208.1,75128,86719,103505
KERMAN,Fresno,14110,4364.4,15199,45539,48822
KERNVILLE,Kern,1354,109.5,31106,51731,61250
KESWICK,Shasta,410,121.4,27618,60417,71250
KETTLEMAN CITY,Kings,1648,7810.4,13434,41131,40060
KEYES,Stanislaus,6364,2249.6,13124,37421,40714
KING CITY,Monterey,13171,3425.5,12770,40500,41087
KINGS BEACH,Placer,3384,984,20677,39639,44306
KINGSBURG,Fresno,11582,4101.3,25921,60361,70305
KINGVALE,NevadaPlacer,177,184,33515,63295,63295
KIRKWOOD,AlpineAmador,98,22.5,13118,39375,NA
KLAMATH,Del Norte,955,76.2,15828,30769,38173
KNIGHTSEN,Contra Costa,1644,196.7,29127,78672,80500
KNIGHTS LANDING,Yolo,1161,2317.4,20478,45789,42596
LA CAÑADA FLINTRIDGE,Los Angeles,20477,2373.3,71758,151786,169482
LA CRESCENTA-MONTROSE,Los Angeles,20241,5908.1,38256,89737,109722
LADERA,San Mateo,1497,3282.9,95386,225391,NA
LADERA HEIGHTS,Los Angeles,7362,2482.1,56573,100811,118456
LADERA RANCH,Orange,26010,5372.9,50478,131952,149125
LAFAYETTE,Contra Costa,24685,1640.5,67896,138073,176250
LAGUNA BEACH,Orange,23114,2598.8,79340,97881,138869
LAGUNA HILLS,Orange,30768,4661.1,43958,91460,103304
LAGUNA NIGUEL,Orange,64299,4361.9,51750,98957,126029
LAGUNA WOODS,Orange,16302,4873.5,37419,36708,54357
LAGUNITAS-FOREST KNOLLS,Marin,2007,472.6,38092,79148,100335
LA HABRA,Orange,61341,8341.2,25646,61364,68954
LA HABRA HEIGHTS,Los Angeles,5398,876.4,51293,111250,113833
LA HONDA,San Mateo,741,174.2,48114,104479,162552
LAKE ALMANOR COUNTRY CLUB,Plumas,530,193.2,67541,74286,89000
LAKE ALMANOR PENINSULA,Plumas,470,154.8,38839,59583,77000
LAKE ALMANOR WEST,Plumas,263,115,75154,113819,113472
LAKE ARROWHEAD,San Bernardino,11255,634.9,29997,64461,73135
LAKE CALIFORNIA,Tehama,2851,452.9,26009,52165,47414
LAKE CITY,Modoc,35,6,18940,37750,NA
LAKE DAVIS,Plumas,45,8.3,16027,NA,NA
LAKE DON PEDRO,Mariposa,995,79.2,37353,71970,86750
LAKE ELSINORE,Riverside,56243,1466.6,21016,63303,65855
LAKE FOREST,Orange,78940,4745.1,38760,92781,109426
LAKEHEAD,Shasta,493,105,19697,31136,40500
LAKE HUGHES,Los Angeles,469,44.1,16426,21932,43000
LAKE ISABELLA,Kern,3093,142.4,17300,22726,37232
LAKELAND VILLAGE,Riverside,11343,1307.4,18725,41289,45028
LAKE LOS ANGELES,Los Angeles,11948,1226.6,15918,40227,42426
LAKE MATHEWS,Riverside,5518,346.5,27927,69011,71463
LAKE NACIMIENTO,San Luis Obispo,2497,241.3,36293,68516,80357
LAKE OF THE PINES,Nevada,3563,2383.3,38479,75403,84271
LAKE OF THE WOODS,Kern,539,153,24728,33750,34219
LAKEPORT,Lake,4746,1552,25590,36361,46941
LAKE RIVERSIDE,Riverside,858,119.4,20839,61484,70156
LAKE SAN MARCOS,San Diego,4679,2718.8,30845,43125,67927
LAKE SHERWOOD,Ventura,1526,482.8,120676,230000,NA
LAKESIDE,San Diego,21079,3054.9,26236,62037,74608
LAKEVIEW,Riverside,1723,528.5,16372,47383,54426
LAKE WILDWOOD,Nevada,5293,1732,35366,65427,77969
LAKEWOOD,Los Angeles,80926,8591.8,29981,79113,88660
LA MESA,San Diego,58239,6414.7,30728,54630,69955
LA MIRADA,Los Angeles,49038,6269.2,29467,81178,90696
LAMONT,Kern,16359,3564.1,10475,33433,31278
LANARE,Fresno,398,197.2,10910,47875,47875
LANCASTER,Los Angeles,159092,1687.1,19703,49057,54993
LA PALMA,Orange,15791,8856.4,33524,84026,90080
LA PORTE,Plumas,12,2.7,NA,NA,NA
LA PRESA,San Diego,34739,6319.6,22135,60817,66449
LA PUENTE,Los Angeles,40342,11595.9,15509,54660,55150
LA QUINTA,Riverside,38774,1103.6,39021,71074,80473
LA RIVIERA,Sacramento,11529,6231.9,27789,58694,62952
LARKFIELD-WIKIUP,Sonoma,8831,1663.7,37027,75230,83295
LARKSPUR,Marin,12131,4007.6,65707,82568,115363
LA SELVA BEACH,Santa Cruz,2932,553.5,51592,108611,105833
LAS FLORES,Orange,6311,2842.8,49984,121696,140000
LAS FLORES,Tehama,154,430.2,11416,27763,43958
LAS LOMAS,Monterey,3409,3287.4,13409,68194,68352
LATHROP,San Joaquin,19163,873.8,18488,63087,64136
LATON,Fresno,1144,590.6,19300,29865,29625
LA VERNE,Los Angeles,31592,3747.6,34778,75662,95045
LA VINA,Madera,436,4316.8,8407,31900,31900
LAWNDALE,Los Angeles,33155,16795.8,18145,48376,50507
LAYTONVILLE,Mendocino,1227,228.6,15235,31190,36458
LEBEC,Kern,1333,87,17666,56324,55294
LEE VINING,Mono,234,44.8,9196,NA,NA
LEGGETT,Mendocino,54,20,18922,43571,NA
LE GRAND,Merced,1823,1599.1,13865,38625,38571
LEMON COVE,Tulare,214,256.6,17693,34875,39444
LEMON GROVE,San Diego,25963,6693.2,21915,52339,57052
LEMON HILL,Sacramento,12767,7847,12076,27101,27729
LEMOORE,Kings,24788,2910.4,23836,52701,56775
LEMOORE STATION,Kings,6913,1643.6,19113,44632,44412
LENNOX,Los Angeles,22039,20163.8,12057,36573,36126
LENWOOD,San Bernardino,3153,1424.1,16243,42727,57232
LEONA VALLEY,Los Angeles,1697,91.3,37427,77582,79891
LEWISTON,Trinity,1480,74,24563,33929,43750
LEXINGTON HILLS,Santa Clara,2367,501.7,57392,125893,147188
LIKELY,Modoc,31,23.3,NA,NA,NA
LINCOLN,Placer,44397,2209.6,32182,70870,79017
LINCOLN VILLAGE,San Joaquin,3996,5429.3,23073,55125,60521
LINDA,Yuba,18634,2169.5,14131,36063,37872
LINDCOVE,Tulare,520,762.5,15402,45625,43750
LINDEN,San Joaquin,1948,262.9,38334,87585,83125
LINDSAY,Tulare,12688,4861.3,10678,30198,30466
LINNELL CAMP,Tulare,561,4794.9,6902,20556,21278
LITCHFIELD,Lassen,129,32.7,31985,49688,43068
LITTLE GRASS VALLEY,Plumas,0,0,NA,NA,NA
LITTLE RIVER,Mendocino,38,22.7,24705,NA,NA
LITTLEROCK,Los Angeles,2040,1106.9,10711,39745,39676
LIVE OAK,Santa Cruz,17494,5394.4,31432,64957,82611
LIVE OAK,Sutter,8500,2723.5,16936,42349,46758
LIVERMORE,Alameda,83901,3122.9,42594,99683,111950
LIVINGSTON,Merced,13461,3660.9,13604,50674,51912
LOCKEFORD,San Joaquin,3172,380.3,25079,45698,47639
LOCKWOOD,Monterey,389,35.8,36450,94615,75089
LODI,San Joaquin,63158,4619.9,23648,48662,54740
LODOGA,Colusa,147,43.4,31301,50000,68333
LOLETA,Humboldt,661,311.2,22226,41094,53750
LOMA LINDA,San Bernardino,23648,3146.4,31239,58259,68223
LOMA MAR,San Mateo,211,121.6,32991,93810,117813
LOMA RICA,Yuba,2537,137.2,27252,64615,68984
LOMITA,Los Angeles,20539,10747.8,28593,57245,66541
LOMPICO,Santa Cruz,900,266.7,56476,72215,98500
LOMPOC,Santa Barbara,43045,3712.7,20151,47908,51195
LONDON,Tulare,2080,3306.8,8026,24816,25577
LONE PINE,Inyo,2017,106,21830,31838,39167
LONG BARN,Tuolumne,291,101.1,20712,24388,NA
LONG BEACH,Los Angeles,468594,9315.8,27014,52944,59710
LOOKOUT,Modoc,67,12.6,17072,36635,NA
LOOMIS,Placer,6589,906.8,33354,82813,95217
LOS ALAMITOS,Orange,11598,2883.6,36367,82258,89271
LOS ALAMOS,Santa Barbara,1166,301.4,36571,62429,60625
LOS ALTOS,Santa Clara,29762,4597.2,84705,157500,190938
LOS ALTOS HILLS,Santa Clara,8244,923.8,123127,224271,NA
LOS ANGELES,Los Angeles,3862210,8240.8,28320,49682,54171
LOS BANOS,Merced,36626,3665.2,17160,45665,46748
LOS BERROS,San Luis Obispo,908,361.5,19596,60958,61979
LOS GATOS,Santa Clara,30163,2701.3,72050,122860,157796
LOS MOLINOS,Tehama,2184,995.4,18205,36466,42990
LOS OLIVOS,Santa Barbara,913,371.3,58133,89667,129875
LOS OSOS,San Luis Obispo,14778,1157.9,34229,56860,72625
LOS RANCHOS,San Luis Obispo,1676,592.4,47842,96705,111296
LOST HILLS,Kern,2194,395.2,8418,31875,30125
LOWER LAKE,Lake,1620,607.4,17614,31781,54028
LOYALTON,Sierra,874,2462,21614,43000,46375
LOYOLA,Santa Clara,3463,2399.9,98398,210882,238177
LUCAS VALLEY-MARINWOOD,Marin,6168,1077,59579,129389,145491
LUCERNE,Lake,3318,666.5,11901,20784,35571
LUCERNE VALLEY,San Bernardino,5767,54.6,17984,34024,46383
LYNWOOD,Los Angeles,70789,14625.8,12580,41930,41332
LYTLE CREEK,San Bernardino,1127,187.3,26927,71000,81048
MABIE,Plumas,52,14.3,42662,NA,NA
MCARTHUR,Shasta,308,307.7,30152,42935,44348
MCCLELLAN PARK,Sacramento,1103,272.9,13962,23977,24115
MCCLENNEY TRACT,Tulare,6,9.7,7150,NA,NA
MCCLOUD,Siskiyou,1111,458.7,19429,31071,50888
MACDOEL,Siskiyou,111,750,14183,28500,NA
MCFARLAND,Kern,12784,4791.6,9518,34750,33549
MCGEE CREEK,Mono,125,31.2,93233,91860,NA
MCKINLEYVILLE,Humboldt,16448,790.9,25701,50298,60833
MCKITTRICK,Kern,112,42.8,20728,43000,43500
MCSWAIN,Merced,4531,750.4,35273,98519,106736
MADERA,Madera,62559,3962.2,14460,42027,43600
MADERA ACRES,Madera,9653,1326,18180,60529,61056
MADISON,Yolo,526,340.2,17946,51875,53393
MAD RIVER,Trinity,398,11.5,19148,34907,46875
MAGALIA,Butte,11467,818.2,20818,39514,43457
MALAGA,Fresno,935,3412.4,10696,38350,39800
MALIBU,Los Angeles,12830,648.3,95212,130432,169241
MAMMOTH LAKES,Mono,8154,327.9,27170,60984,68750
MANCHESTER,Mendocino,193,73.7,16462,29118,26691
MANHATTAN BEACH,Los Angeles,35534,9025.7,81787,142071,177532
MANILA,Humboldt,673,1029.1,22212,32997,51094
MANTECA,San Joaquin,70693,3440.6,23806,62032,67043
MANTON,Tehama,341,19.3,23833,31250,34750
MARCH ARB,Riverside,1129,94.5,41980,68261,104013
MARICOPA,Kern,1158,771,17853,33750,43646
MARINA,Monterey,20198,2273.8,24773,53828,63477
MARINA DEL REY,Los Angeles,9157,10647.7,71023,101860,105762
MARIN CITY,Marin,2958,5508.4,25543,39872,41917
MARIPOSA,Mariposa,1524,501.8,18842,34881,41422
MARKLEEVILLE,Alpine,268,41,33723,70511,71591
MARTELL,Amador,94,40.2,28057,13508,NA
MARTINEZ,Contra Costa,36876,2919.5,39701,85736,100577
MARYSVILLE,Yuba,12144,3505.8,18146,34942,45274
MATHENY,Tulare,1098,2565.4,14644,31208,31250
MATHER,Sacramento,4806,479.4,30130,86705,88452
MAXWELL,Colusa,1076,500.5,19794,44625,55833
MAYFAIR,Fresno,4512,8710.4,14620,40625,47278
MAYFLOWER VILLAGE,Los Angeles,5779,8411.9,30295,72034,83885
MAYWOOD,Los Angeles,27703,23517,11656,36492,37342
MEADOWBROOK,Riverside,3447,502.5,13817,34815,36964
MEADOW VALLEY,Plumas,435,51.1,33823,51944,85500
MEADOW VISTA,Placer,3072,581.7,37474,71007,87026
MEAD VALLEY,Riverside,19851,1034.1,14010,41962,44475
MECCA,Riverside,8912,1280.6,8504,26473,27265
MEINERS OAKS,Ventura,3634,2581,29168,70430,81154
MENDOCINO,Mendocino,826,366,42196,51917,104732
MENDOTA,Fresno,11360,3446.6,8642,25229,26250
MENIFEE,Riverside,81658,1757.1,23165,56671,64431
MENLO PARK,San Mateo,32792,3354.7,69802,115650,156439
MENTONE,San Bernardino,9388,1524,23376,55682,62476
MERCED,Merced,80490,3465.5,17623,38917,43809
MERIDIAN,Sutter,438,82.7,28966,50000,82692
MESA,Inyo,442,126.2,37789,82266,97500
MESA VERDE,Riverside,1004,231.2,13468,37891,34583
MESA VISTA,Alpine,212,43.5,25200,61364,79063
METTLER,Kern,88,377.7,15591,42917,51250
MEXICAN COLONY,Kern,216,6750,7247,17375,15500
MIDDLETOWN,Lake,1073,581.9,29725,48965,100625
MIDPINES,Mariposa,689,28.1,36067,41063,40469
MIDWAY CITY,Orange,9104,15023.1,18658,45581,51882
MILFORD,Lassen,116,21.9,42773,64961,64961
MILLBRAE,San Mateo,22177,6823.7,43518,91846,106051
MILL VALLEY,Marin,14178,2976.7,87627,132192,167061
MILLVILLE,Shasta,861,107,26947,59375,66818
MILPITAS,Santa Clara,69346,5106.1,34237,99072,102005
MINERAL,Tehama,222,5,32623,52500,70000
MINKLER,Fresno,1066,181.8,36435,81339,128482
MIRA MONTE,Ventura,7306,1598.7,39022,70905,96250
MIRANDA,Humboldt,536,358.8,30378,50144,36250
MISSION CANYON,Santa Barbara,2531,1668.4,56986,112717,128438
MISSION HILLS,Santa Barbara,3415,2778.7,36137,81250,84119
MISSION VIEJO,Orange,95246,5403.4,41513,98157,110723
MI-WUK VILLAGE,Tuolumne,1069,384.8,26306,49458,63036
MODESTO,Stanislaus,205984,4619.8,23034,47607,55289
MOHAWK VISTA,Plumas,109,9.1,75039,58500,NA
MOJAVE,Kern,4172,71.6,15847,34500,40484
MOKELUMNE HILL,Calaveras,635,206.2,39304,62396,80250
MONMOUTH,Fresno,184,597.4,15705,34500,44861
MONO CITY,Mono,67,12.4,11106,31500,NA
MONO VISTA,Tuolumne,1979,697.8,24568,46250,49412
MONROVIA,Los Angeles,37035,2722.2,34668,72034,86034
MONSON,Tulare,191,388.2,14281,41667,83083
MONTAGUE,Siskiyou,1504,845.9,20433,42500,54545
MONTALVIN MANOR,Contra Costa,3055,9487.6,22652,64778,73864
MONTARA,San Mateo,2880,742.7,49203,147568,148273
MONTCLAIR,San Bernardino,37685,6830.7,17881,48767,51184
MONTEBELLO,Los Angeles,63353,7602.7,20972,47562,55720
MONTECITO,Santa Barbara,9444,1010.5,83226,130129,160417
MONTEREY,Monterey,28053,3227.5,36812,64772,80615
MONTEREY PARK,Los Angeles,60966,7950.7,24637,54821,60209
MONTEREY PARK TRACT,Stanislaus,273,5808.5,13645,90134,NA
MONTE RIO,Sonoma,1031,541.5,27032,33681,63854
MONTE SERENO,Santa Clara,3462,2117.4,105597,187115,238606
MONTGOMERY CREEK,Shasta,123,37.8,27628,62708,62917
MONUMENT HILLS,Yolo,1469,364.7,47489,112344,112422
MOORPARK,Ventura,35033,2785,37016,99353,108628
MORADA,San Joaquin,4573,1534,35079,61270,71534
MORAGA,Contra Costa,16549,1748.4,60576,132651,163951
MORENO VALLEY,Riverside,198872,3878.5,17874,54229,55265
MORGAN HILL,Santa Clara,39875,3127.7,40972,96232,108037
MORONGO VALLEY,San Bernardino,3605,142.9,21607,32295,44787
MORRO BAY,San Luis Obispo,10383,1957.9,32613,50914,66378
MOSKOWITE CORNER,Napa,172,61.2,20858,49286,53750
MOSS BEACH,San Mateo,3435,1530.7,42240,81622,107083
MOSS LANDING,Monterey,200,502.5,17855,30500,37857
MOUNTAIN CENTER,Riverside,75,39.8,10727,NA,NA
MOUNTAIN GATE,Shasta,1153,582.6,18037,33906,53750
MOUNTAIN HOUSE,San Joaquin,12088,3785.8,29092,106119,108750
MOUNTAIN MESA,Kern,454,546.3,18583,38250,39313
MOUNTAIN RANCH,Calaveras,1369,33.2,27714,38630,57243
MOUNTAIN VIEW,Contra Costa,2299,7927.6,27903,43077,38400
MOUNTAIN VIEW,Santa Clara,76741,6398.8,56156,100028,119081
MOUNTAIN VIEW ACRES,San Bernardino,3502,2229.2,18119,55673,56521
MOUNT HEBRON,Siskiyou,88,123.4,9728,25368,26397
